pin,slack
SpiMasterPorts_0/SpiBitPos_7_1.SUM[2]:A,4324
SpiMasterPorts_0/SpiBitPos_7_1.SUM[2]:B,7541
SpiMasterPorts_0/SpiBitPos_7_1.SUM[2]:C,3089
SpiMasterPorts_0/SpiBitPos_7_1.SUM[2]:D,4095
SpiMasterPorts_0/SpiBitPos_7_1.SUM[2]:Y,3089
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
SpiMasterPorts_7/XferComplete_i_RNINC1K:A,5710
SpiMasterPorts_7/XferComplete_i_RNINC1K:B,5581
SpiMasterPorts_7/XferComplete_i_RNINC1K:Y,5581
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlOl[7]:CLK,6756
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlOl[7]:D,7703
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlOl[7]:EN,5302
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlOl[7]:Q,6756
Ux2FPGA_sb_0/CoreAPB3_0/u_mux_p_to_b3/Ux2FPGA_sb_0_AMBA_SLAVE_0_6_PREADY_i_m:A,4716
Ux2FPGA_sb_0/CoreAPB3_0/u_mux_p_to_b3/Ux2FPGA_sb_0_AMBA_SLAVE_0_6_PREADY_i_m:B,5823
Ux2FPGA_sb_0/CoreAPB3_0/u_mux_p_to_b3/Ux2FPGA_sb_0_AMBA_SLAVE_0_6_PREADY_i_m:C,3609
Ux2FPGA_sb_0/CoreAPB3_0/u_mux_p_to_b3/Ux2FPGA_sb_0_AMBA_SLAVE_0_6_PREADY_i_m:D,4492
Ux2FPGA_sb_0/CoreAPB3_0/u_mux_p_to_b3/Ux2FPGA_sb_0_AMBA_SLAVE_0_6_PREADY_i_m:Y,3609
SpiMasterPorts_3/Sck_i_0_0_a2_1:A,5502
SpiMasterPorts_3/Sck_i_0_0_a2_1:B,5503
SpiMasterPorts_3/Sck_i_0_0_a2_1:C,4594
SpiMasterPorts_3/Sck_i_0_0_a2_1:D,4586
SpiMasterPorts_3/Sck_i_0_0_a2_1:Y,4586
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlIll.CUARTIlIl_3_i_a2_0[3]:A,6617
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlIll.CUARTIlIl_3_i_a2_0[3]:B,6566
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlIll.CUARTIlIl_3_i_a2_0[3]:C,6483
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlIll.CUARTIlIl_3_i_a2_0[3]:D,5432
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTlIll.CUARTIlIl_3_i_a2_0[3]:Y,5432
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:B,2441
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:IPB,2441
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl0OI[5]:CLK,6805
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl0OI[5]:D,7417
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl0OI[5]:EN,3444
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl0OI[5]:Q,6805
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:IPB,
SpiMasterPorts_4/nCs[0]:ALn,5390
SpiMasterPorts_4/nCs[0]:CLK,
SpiMasterPorts_4/nCs[0]:EN,6567
SpiMasterPorts_4/nCs[0]:Q,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/un1_CUARTOOl_0_a2_1_0:A,4335
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/un1_CUARTOOl_0_a2_1_0:B,4089
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/un1_CUARTOOl_0_a2_1_0:C,4234
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/un1_CUARTOOl_0_a2_1_0:Y,4089
