pin,slack
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r_cry[4]:B,7123
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r_cry[4]:FCI,7020
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r_cry[4]:FCO,7020
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r_cry[4]:S,7115
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_181:IPA,
DMMainPorts_1/Uart0TxBitClockDiv/ClkDiv[0]:ALn,
DMMainPorts_1/Uart0TxBitClockDiv/ClkDiv[0]:CLK,
DMMainPorts_1/Uart0TxBitClockDiv/ClkDiv[0]:D,
DMMainPorts_1/Uart0TxBitClockDiv/ClkDiv[0]:Q,
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0/CFG_26:C,8386
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0/CFG_26:IPB,
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0/CFG_26:IPC,8386
DMMainPorts_1/RegisterSpace/DataOut_RNI47JP[23]:A,3345
DMMainPorts_1/RegisterSpace/DataOut_RNI47JP[23]:B,10196
DMMainPorts_1/RegisterSpace/DataOut_RNI47JP[23]:Y,3345
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:A,7224
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:B,7083
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:C,6995
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:FCI,6872
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:FCO,6872
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNILHP86[7]:S,6927
nCsD_obuf[1]/U0/U_IOOUTFF:A,
nCsD_obuf[1]/U0/U_IOOUTFF:Y,
DMMainPorts_1/RS433_Rx3/Uart/Uart/bitpos[2]:ALn,
