pin,slack
DMMainPorts_0/BootupReset/ClkDiv[3]:CLK,6567
DMMainPorts_0/BootupReset/ClkDiv[3]:D,7552
DMMainPorts_0/BootupReset/ClkDiv[3]:EN,5569
DMMainPorts_0/BootupReset/ClkDiv[3]:Q,6567
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
DMMainPorts_0/RegisterSpace/DataOut[10]:CLK,2995
DMMainPorts_0/RegisterSpace/DataOut[10]:D,4932
DMMainPorts_0/RegisterSpace/DataOut[10]:EN,4406
DMMainPorts_0/RegisterSpace/DataOut[10]:Q,2995
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[4]:ALn,5851
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[4]:CLK,5510
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[4]:D,7400
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[4]:EN,6407
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[4]:Q,5510
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_20:IPB,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_20:IPC,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:B,-281
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_10:IPB,-281
DMMainPorts_0/GenRamAddrBus.1.IBUF_RamAddr_i/O:CLK,2949
DMMainPorts_0/GenRamAddrBus.1.IBUF_RamAddr_i/O:D,-2704
DMMainPorts_0/GenRamAddrBus.1.IBUF_RamAddr_i/O:Q,2949
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:IPB,
