Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,Multi-Mode UART
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,1,0,1,2,0,0
Filterwheel_sb_0/CCC_0/Primitives,0,0,0,0,0,0,1,1,0,0
Filterwheel_sb_0/CORERESETP_0/Primitives,2,9,0,0,0,0,0,1,0,0
Filterwheel_sb_0/CoreAHBLite_0/CAHBLTl1OI1/CAHBLTOOIll/CAHBLTlO1I/Primitives,9,1,0,0,0,0,0,0,0,0
Filterwheel_sb_0/CoreAHBLite_0/CAHBLTl1OI1/CAHBLTOOIll/Primitives,43,33,0,0,0,0,0,0,0,0
Filterwheel_sb_0/CoreAHBLite_0/CAHBLTl1OI1/CAHBLTlOIll/CAHBLTlIIl/Primitives,2,2,0,0,0,0,0,0,0,0
Filterwheel_sb_0/CoreAHBLite_0/CAHBLTl1OI1/CAHBLTlOIll/Primitives,1,1,0,0,0,0,0,0,0,0
Filterwheel_sb_0/Filterwheel_sb_MSS_0/Primitives,0,0,0,0,0,0,0,0,1,0
Main_0/BootupReset/Primitives,15,12,0,0,0,0,0,1,0,0
Main_0/GenRamAddrBus.0.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.1.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.2.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.3.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.4.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.5.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.6.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.7.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.8.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamAddrBus.9.IBUF_RamAddr_i/Primitives,1,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.0.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.1.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.10.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.11.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.12.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.13.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.14.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.15.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.2.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.3.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.4.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.5.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.6.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.7.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.8.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/GenRamDataBus.9.IOBUF_RamData_i/Primitives,0,1,0,0,0,0,0,0,0,0
Main_0/IBufCE/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/IBufRxd0/Primitives,0,3,0,0,0,0,0,0,0,0
Main_0/IBufRxd1/Primitives,0,3,0,0,0,0,0,0,0,0
Main_0/IBufRxd2/Primitives,0,3,0,0,0,0,0,0,0,0
Main_0/IBufWE/Primitives,3,2,0,0,0,0,0,0,0,0
