pin,slack
Main_0/RegisterSpace/un1_serialnumber_1_iv_i_a2_4[21]:A,2650
Main_0/RegisterSpace/un1_serialnumber_1_iv_i_a2_4[21]:B,2578
Main_0/RegisterSpace/un1_serialnumber_1_iv_i_a2_4[21]:C,3018
Main_0/RegisterSpace/un1_serialnumber_1_iv_i_a2_4[21]:D,2906
Main_0/RegisterSpace/un1_serialnumber_1_iv_i_a2_4[21]:Y,2578
Main_0/RegisterSpace/un1_serialnumber_0_iv_49[9]:A,902
Main_0/RegisterSpace/un1_serialnumber_0_iv_49[9]:B,893
Main_0/RegisterSpace/un1_serialnumber_0_iv_49[9]:C,761
Main_0/RegisterSpace/un1_serialnumber_0_iv_49[9]:D,558
Main_0/RegisterSpace/un1_serialnumber_0_iv_49[9]:Y,558
Main_0/RS422_Tx2/UartTxFifo/fifo_i/ram_ram_0_0/FF_11:IPENn,
TP3_obuf/U0/U_IOENFF:A,
TP3_obuf/U0/U_IOENFF:Y,
Main_0/ClkDac_i/Spi/DataFromMiso_1ce[8]:A,4859
Main_0/ClkDac_i/Spi/DataFromMiso_1ce[8]:B,3481
Main_0/ClkDac_i/Spi/DataFromMiso_1ce[8]:C,5919
Main_0/ClkDac_i/Spi/DataFromMiso_1ce[8]:D,5656
Main_0/ClkDac_i/Spi/DataFromMiso_1ce[8]:Y,3481
Main_0/StepperMotor/un1_seekstep_0_I_33:A,5995
Main_0/StepperMotor/un1_seekstep_0_I_33:B,5527
Main_0/StepperMotor/un1_seekstep_0_I_33:C,5476
Main_0/StepperMotor/un1_seekstep_0_I_33:D,5539
Main_0/StepperMotor/un1_seekstep_0_I_33:FCI,5381
Main_0/StepperMotor/un1_seekstep_0_I_33:FCO,5381
Main_0/PosDetA2OnStep[14]:CLK,3981
Main_0/PosDetA2OnStep[14]:D,8069
Main_0/PosDetA2OnStep[14]:EN,2494
Main_0/PosDetA2OnStep[14]:Q,3981
Main_0/PosDetA2OnStep[14]:SLn,3418
Main_0/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0/CFG_21:B,
Main_0/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0/CFG_21:IPB,
Main_0/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0/CFG_21:IPC,
Main_0/RxdUsb_RxUsb/UartFifo/fifo_i/raddr_r_RNO[0]:A,7396
Main_0/RxdUsb_RxUsb/UartFifo/fifo_i/raddr_r_RNO[0]:Y,7396
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[7]:ALn,6096
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[7]:CLK,7180
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[7]:D,7077
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[7]:EN,7071
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[7]:Q,7180
Main_0/RS433_Rx3/Uart/Uart/RReg_1_sqmuxa:A,
Main_0/RS433_Rx3/Uart/Uart/RReg_1_sqmuxa:B,
Main_0/RS433_Rx3/Uart/Uart/RReg_1_sqmuxa:C,
Main_0/RS433_Rx3/Uart/Uart/RReg_1_sqmuxa:D,
Main_0/RS433_Rx3/Uart/Uart/RReg_1_sqmuxa:Y,
Main_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[4]:B,7123
Main_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[4]:FCI,7039
Main_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[4]:FCO,7039
Main_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[4]:S,7134
CtsUsb_obuf/U0/U_IOOUTFF:A,
CtsUsb_obuf/U0/U_IOOUTFF:Y,
Main_0/RxdUsb_RxUsb/Uart/Uart/un1_bitpos_1_sqmuxa:A,
Main_0/RxdUsb_RxUsb/Uart/Uart/un1_bitpos_1_sqmuxa:B,
Main_0/RxdUsb_RxUsb/Uart/Uart/un1_bitpos_1_sqmuxa:C,
Main_0/RxdUsb_RxUsb/Uart/Uart/un1_bitpos_1_sqmuxa:Y,
Main_0/RS422_Tx0/UartTxUart/BitCnt_7_f0[2]:A,
Main_0/RS422_Tx0/UartTxUart/BitCnt_7_f0[2]:B,
Main_0/RS422_Tx0/UartTxUart/BitCnt_7_f0[2]:C,
Main_0/RS422_Tx0/UartTxUart/BitCnt_7_f0[2]:D,
Main_0/RS422_Tx0/UartTxUart/BitCnt_7_f0[2]:Y,
Main_0/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/FF_29:IPENn,
Main_0/RxdUsb_RxUsb/Uart/Uart/RxProc.un18_enable_1.CO3:A,
Main_0/RxdUsb_RxUsb/Uart/Uart/RxProc.un18_enable_1.CO3:B,
Main_0/RxdUsb_RxUsb/Uart/Uart/RxProc.un18_enable_1.CO3:C,
Main_0/RxdUsb_RxUsb/Uart/Uart/RxProc.un18_enable_1.CO3:D,
Main_0/RxdUsb_RxUsb/Uart/Uart/RxProc.un18_enable_1.CO3:Y,
Main_0/PosDet2AOffStep[7]:CLK,4251
Main_0/PosDet2AOffStep[7]:D,8069
Main_0/PosDet2AOffStep[7]:EN,2440
Main_0/PosDet2AOffStep[7]:Q,4251
Main_0/PosDet2AOffStep[7]:SLn,3418
MosiXO_obuf/U0/U_IOPAD:D,
MosiXO_obuf/U0/U_IOPAD:E,
MosiXO_obuf/U0/U_IOPAD:PAD,
Main_0/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/FF_24:CLK,
Main_0/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/FF_24:IPCLKn,
Main_0/RegisterSpace/un124_readreq:A,316
Main_0/RegisterSpace/un124_readreq:B,648
Main_0/RegisterSpace/un124_readreq:C,456
Main_0/RegisterSpace/un124_readreq:Y,316
Main_0/PosDet4BOffStep[7]:CLK,4055
Main_0/PosDet4BOffStep[7]:D,8069
Main_0/PosDet4BOffStep[7]:EN,2440
Main_0/PosDet4BOffStep[7]:Q,4055
Main_0/PosDet4BOffStep[7]:SLn,3418
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[2]:ALn,6096
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[2]:CLK,7085
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[2]:D,7172
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[2]:EN,7071
Main_0/RS4UsbUsb_TxUsb/UartTxFifo/fifo_i/raddr_r[2]:Q,7085
Main_0/RS422_Rx1/UartFifo/fifo_i/raddr_r_s[9]:B,7181
Main_0/RS422_Rx1/UartFifo/fifo_i/raddr_r_s[9]:FCI,7039
Main_0/RS422_Rx1/UartFifo/fifo_i/raddr_r_s[9]:S,7039
Main_0/RegisterSpace/un76_readreq_2_0:A,-202
Main_0/RegisterSpace/un76_readreq_2_0:B,-424
Main_0/RegisterSpace/un76_readreq_2_0:C,-383
Main_0/RegisterSpace/un76_readreq_2_0:D,-436
Main_0/RegisterSpace/un76_readreq_2_0:Y,-436
Main_0/RS422_Rx2/Uart/Uart/bitpos[0]:ALn,
Main_0/RS422_Rx2/Uart/Uart/bitpos[0]:CLK,
