
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Filterwheel, 2480, 2628, 782, 0, 0, 12, 0, 30, 68
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 1
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 1
.	. Filterwheel_sb, 46, 11, 0, 0, 0, 0, 0, 4, 0
.	.	. CoreAPB3_Z1_layer0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z2_layer0, 46, 9, 0, 0, 0, 0, 0, 2, 0
.	.	. Filterwheel_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. Filterwheel_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. Filterwheel_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. Main, 2434, 2616, 782, 0, 0, 12, 0, 25, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_0, 5, 15, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_1, 5, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_2, 5, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_3, 5, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_4, 5, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_5, 5, 3, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_1layer1, 7, 4, 7, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_2layer1, 11, 16, 10, 0, 0, 0, 0, 1, 0
.	.	. CrcFifo_11, 100, 103, 12, 0, 0, 0, 0, 1, 0
.	.	.	. CrcStream, 32, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. crc_byte, 0, 47, 0, 0, 0, 0, 0, 0, 0
.	.	. FourWireStepperMotorDriverPorts_102000000_0\.010000, 38, 13, 61, 0, 0, 0, 0, 1, 0
.	.	. IBufP1Ports, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_10, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_11, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_12, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_13, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_14, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_15, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_16, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_17, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_18, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_19, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_20, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_21, 1, 0, 0, 0, 0, 0, 0, 0, 0
