
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. FineSteeringMirror, 3228, 2948, 2361, 0, 0, 8, 0, 23, 84
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 2, 1
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 1
.	. FineSteeringMirror_sb, 0, 35, 0, 0, 0, 0, 0, 1, 0
.	.	. CoreAPB3_Z1_layer0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. FineSteeringMirror_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FineSteeringMirror_sb_MSS, 0, 33, 0, 0, 0, 0, 0, 0, 0
.	. Main, 3228, 2913, 2361, 0, 0, 8, 0, 20, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_0, 4, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_1, 4, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_2, 4, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. ClockDividerPorts_work_main_architecture_main_0layer1_3, 4, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. DacDitherer_24_16_16_0, 38, 15, 66, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_5, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_16_16_1, 38, 15, 66, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_6, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_16_16_3, 38, 20, 81, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_3, 17, 4, 64, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_16_16_4, 38, 15, 66, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_4, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_24_20_0, 42, 42, 69, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_1, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_24_20_1, 42, 42, 69, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_2, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_24_20_3, 42, 47, 69, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1, 17, 4, 49, 0, 0, 0, 0, 0, 0
.	.	. DacDitherer_24_24_20_4, 42, 42, 69, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_0, 17, 3, 49, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_10, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_11, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_12, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_13, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_14, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_15, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_16, 1, 0, 0, 0, 0, 0, 0, 0, 0
